id,lon,lat
206,-118.8835192,39.48521657
207,-118.8846378,39.48252143
208,-118.8879641,39.48361364
209,-118.8872902,39.48558534
210,-118.8926261,39.48473877
211,-118.8966325,39.48594577
212,-118.8916068,39.48808512
213,-118.8959974,39.49000693
214,-118.9003256,39.49180142
215,-118.9044918,39.49027106
216,-118.9009368,39.4881572
217,-118.9005954,39.48935443
218,-118.8669759,39.53830844
219,-118.8694773,39.53863167
220,-118.869468,39.53674799
222,-118.8676144,39.53635693
224,-118.8635435,39.54109906
225,-118.8628247,39.54276811
226,-118.8636048,39.53966205
227,-118.8636278,39.538349
228,-118.8620296,39.53674668
229,-118.8642192,39.53637691
230,-118.8642131,39.5335887
232,-118.858963,39.53658667
233,-118.8589325,39.53442228
234,-118.8496184,39.53462889
235,-118.8546019,39.53342106
236,-118.8539443,39.53474119
237,-118.8541489,39.53086788
238,-118.8496876,39.53029511
239,-118.8525179,39.52707372
240,-118.8408493,39.53432546
241,-118.8452771,39.52993892
242,-118.8405514,39.53020132
243,-118.8417744,39.52861838
244,-118.8432226,39.52674371
245,-118.8390077,39.52832975
246,-118.8397772,39.52655706
247,-118.8385727,39.52627256
248,-118.8405982,39.52345311
249,-118.8448562,39.52367195
250,-118.8518881,39.52363099
251,-118.8538994,39.5211001
252,-118.8536491,39.51616373
253,-118.8443849,39.51740761
254,-118.8558124,39.51400942
255,-118.8526286,39.51251566
256,-118.8507597,39.5139854
257,-118.8458388,39.51335815
258,-118.8638801,39.50959739
259,-118.8644395,39.51346764
260,-118.8610864,39.5139274
261,-118.8613533,39.51185215
262,-118.8588212,39.51270593
263,-118.862198,39.51381948
264,-118.8596304,39.51538302
265,-118.8598347,39.51708934
266,-118.8600035,39.50649485
267,-118.857763,39.50698224
268,-118.8576264,39.5059114
269,-118.851573,39.50759195
271,-118.8483518,39.5041597
272,-118.8497649,39.50577598
273,-118.8536788,39.50260755
274,-118.8516831,39.49037325
275,-118.8292312,39.49548106
276,-118.8297608,39.49378048
279,-118.8296513,39.49099172
280,-118.837075,39.48776835
281,-118.8360384,39.48644963
282,-118.8582073,39.49065156
283,-118.859164,39.49000894
284,-118.8635135,39.49121768
285,-118.8652953,39.49132205
286,-118.865321,39.4899296
287,-118.8652872,39.48943784
288,-118.8626353,39.48964652
289,-118.8609956,39.488828
290,-118.8647303,39.48694197
291,-118.8693354,39.4889349
292,-118.8676582,39.48733816
293,-118.8668952,39.48713467
294,-118.8693087,39.48722861
295,-118.869338,39.45753506
296,-118.8677152,39.45951516
297,-118.8685184,39.4540947
298,-118.8652508,39.45449541
299,-118.8629877,39.45386171
300,-118.8596057,39.45021147
301,-118.8648938,39.45054547
302,-118.863233,39.45099434
303,-118.8625405,39.44920021
304,-118.8645612,39.44731473
305,-118.861815,39.44709883
306,-118.8590392,39.44631433
307,-118.8664703,39.44619327
308,-118.8673117,39.44772751
309,-118.8694414,39.45091858
310,-118.8673566,39.45090998
311,-118.8567117,39.45919983
312,-118.8545354,39.45806611
313,-118.8532797,39.45579942
314,-118.8534789,39.45470522
315,-118.8550136,39.45356961
316,-118.8542251,39.45182125
317,-118.8496198,39.45092778
318,-118.8528529,39.45141183
319,-118.8485449,39.44843002
320,-118.8549531,39.45021939
321,-118.8560003,39.44880953
322,-118.854557,39.4473132
323,-118.8528228,39.44677158
324,-118.8517565,39.44649022
325,-118.8499936,39.44635484
326,-118.8504734,39.4475958
327,-118.8484767,39.44653296
328,-118.8471155,39.44608116
329,-118.8530957,39.44861434
330,-118.8522079,39.44824887
331,-118.8519484,39.44874766
332,-118.8485818,39.45675553
333,-118.8513654,39.45641914
334,-118.8496654,39.45444038
335,-118.8509334,39.45353086
336,-118.8463384,39.4583122
